word,borrowing,age_oldest,age_youngest,age_oldest_num,age_youngest_num,word.1,phonology,phonlength,AoA,subtlexzipf,conc,cat,AoA_obj,source.language,source.word,source.language.mean.word.length,source.language.word.freq,source.word.length,18-260,word,5,age,source,effect,ids.code,ids.code2,1,modern.english,middle.english,old.english,old.english.length
comb,5,Proto-Indo-European,Proto-Indo-European,6000,6000,comb,k5m,3,5.5,3.59,5,Verb,2,English,NA,3.450980392,0.390831496,3,6-910,comb,5,Proto-Indo-European,None,,6-910,6-910,1,comb,comb,camb,4
come,5,Proto-Indo-European,Proto-Indo-European,6000,6000,come,kVm,3,3.32,6.26,2.72,Verb,2,English,NA,3.450980392,0.390831496,3,10-480,come,5,Proto-Indo-European,None,,10-480,10-480,1,come,comen,cuman,5
freeze,5,Proto-Indo-European,Proto-Indo-European,6000,6000,freeze,friz,4,4.89,4.3,3.96,Verb,2,English,NA,3.450980392,0.324104167,4,1-775,freeze,5,Proto-Indo-European,None,,,,,,,,
know,5,Proto-Indo-European,Proto-Indo-European,6000,6000,know,n5,2,4.5,6.43,1.68,Verb,2,English,NA,3.450980392,0.142987133,2,17-170,know,5,Proto-Indo-European,None,,17-170,17-170,1,know,witen,witan,5
think,5,Proto-Indo-European,Proto-Indo-European,6000,6000,think,TINk,4,4.75,6.51,2.41,Verb,2,English,NA,3.450980392,0.324104167,4,17-140,think,5,Proto-Indo-European,None,,17-140,17-140,1,think,wenen,weÌ„nan,5
weigh,5,Proto-Indo-European,Proto-Indo-European,6000,6000,weigh,w1,2,6.62,4.02,3.79,Verb,2,English,NA,3.450980392,0.142987133,2,11-920,weigh,5,Proto-Indo-European,None,,11-920,11-920,1,weigh,weien,wegan,5
have,5,Proto-Indo-European,Proto-Indo-European,6000,6000,have,h{v,3,3.72,6.9,2.18,Verb,2,English,NA,3.450980392,0.390831496,3,11-110,have,5,Proto-Indo-European,None,,11-110,11-110,1,have,haven,habban,6
dare,5,Proto-Indo-European,Proto-Indo-European,6000,6000,dare,d8R,3,6.63,4.4,2.28,Verb,2,English,NA,3.450980392,0.390831496,3,16-510,dare,5,Proto-Indo-European,None,,16-510,16-510,1,dare,durren,neÌ„Î¸an,5
sow,5,Proto-Indo-European,Proto-Indo-European,6000,6000,sow,s5,2,9.67,3.62,4.04,Verb,6,English,NA,3.450980392,0.142987133,2,8-310,sow,5,Proto-Indo-European,None,,8-310,8-310,1,sow,souen,saÌ„wan,5
hang,5,Proto-Indo-European,Proto-Indo-European,6000,6000,hang,h{N,3,6.68,4.99,3.7,Verb,2,English,NA,3.450980392,0.390831496,3,9-341,hang,5,Proto-Indo-European,None,,9-341,9-341,1,hang up,hongen up,onhoÌ„n,5
lick,5,Proto-Indo-European,Proto-Indo-European,6000,6000,lick,lIk,3,4.3,3.86,4.52,Verb,2,English,NA,3.450980392,0.390831496,3,4-590,lick,5,Proto-Indo-European,None,,4-590,4-590,1,lick,likken,liccian,7
weave,5,Proto-Indo-European,Proto-Indo-European,6000,6000,weave,wiv,3,9.89,3.6,4.2,Verb,4,English,NA,3.450980392,0.390831496,3,9-750,weave,5,Proto-Indo-European,None,,9-750,9-750,1,weave,breiden,wefan,5
laugh,5,Proto-Indo-European,Proto-Indo-European,6000,6000,laugh,l#f,3,3.79,4.77,4.21,Verb,2,English,NA,3.450980392,0.390831496,3,16-250,laugh,5,Proto-Indo-European,None,,16-250,16-250,1,laugh,laughen,hliehhan,8
go,5,Proto-Indo-European,Proto-Indo-European,6000,6000,go,g5,2,3.37,6.43,3.15,Verb,2,English,NA,3.450980392,0.142987133,2,10-470,go,5,Proto-Indo-European,None,,10-470,10-470,1,go,gon,gangan,6
bore,5,Proto-Indo-European,Proto-Indo-European,6000,6000,bore,b$R,3,8.91,3.76,2.96,Verb,2,English,NA,3.450980392,0.390831496,3,9-460,bore,5,Proto-Indo-European,None,,9-460,9-460,1,bore,boren,borian,6
elk,5,Proto-Indo-European,Proto-Indo-European,6000,6000,elk,Elk,3,7.05,3.16,4.93,Verb,6,English,NA,3.450980392,0.390831496,3,3-872,elk,5,Proto-Indo-European,None,,,,,,,,
bite,5,Proto-Indo-European,Proto-Indo-European,6000,6000,bite,b2t,3,3.58,4.45,4.44,Verb,2,English,NA,3.450980392,0.390831496,3,4-580,bite,5,Proto-Indo-European,None,,4-580,4-580,1,bite,biten,biÌ„tan,5
born,5,Proto-Indo-European,Proto-Indo-European,6000,6000,born,b$n,3,4.68,5.05,3.22,Verb,2,English,NA,3.450980392,0.390831496,3,4-720,born,5,Proto-Indo-European,None,,4-720,4-720,1,born,beren,beran,5
thatch,5,Proto-Indo-European,Proto-Indo-European,6000,6000,thatch,T{J,3,10.72,3.21,3.83,Verb,6,English,NA,3.450980392,0.390831496,3,7-520,thatch,5,Proto-Indo-European,None,,7-520,7-520,1,thatch,thach-e,Î¸Ã_c,3
feel,5,Proto-Indo-European,Proto-Indo-European,6000,6000,feel,fil,3,5.11,5.73,2.28,Verb,2,English,NA,3.450980392,0.390831496,3,15-720,feel,5,Proto-Indo-European,None,,15-720,15-720,1,feel,felen,feÌ„lan,5
broken,5,Proto-Indo-European,Proto-Indo-European,6000,6000,broken,br5k@n,6,#N/A,4.86,4.11,Verb,2,English,NA,3.450980392,0.009532476,6,9-261,broken,5,Proto-Indo-European,None,,9-261,9-261,1,broken,broken,brocen,6
hide,5,Proto-Indo-European,Proto-Indo-European,6000,6000,hide,h2d,3,4.47,4.66,3.21,Verb,2,English,NA,3.450980392,0.390831496,3,12-270,hide,5,Proto-Indo-European,None,,12-270,12-270,1,hide,hiden,hyÌ„dan,5
seek,5,Proto-Indo-European,Proto-Indo-European,6000,6000,seek,sik,3,6.94,4.39,2.68,Verb,4,English,NA,3.450980392,0.390831496,3,11-310,seek,5,Proto-Indo-European,None,,11-310,11-310,1,seek,sechen,seÌ„can,5
sneeze,5,Proto-Indo-European,Proto-Indo-European,6000,6000,sneeze,sniz,4,4.17,3.47,4.03,Verb,2,English,NA,3.450980392,0.324104167,4,4-540,sneeze,5,Proto-Indo-European,None,,4-540,4-540,1,sneeze,nesen,gefnesan,8
leave,5,Proto-Indo-European,Proto-Indo-European,6000,6000,leave,liv,3,5.58,5.49,2.53,Verb,2,English,NA,3.450980392,0.390831496,3,10-490,leave,5,Proto-Indo-European,None,,10-490,10-490,1,go away,gon awei,wiÌ„tan,5
tear,5,Proto-Indo-European,Proto-Indo-European,6000,6000,tear,t8R,3,4.89,4.23,4.56,Verb,2,English,NA,3.450980392,0.390831496,3,16-380,tear,5,Proto-Indo-European,None,,16-380,16-380,1,tear,ter-e,teÌ„ar,4
break,5,Proto-Indo-European,Proto-Indo-European,6000,6000,break,br1k,4,5.3,5.23,3.71,Verb,2,English,NA,3.450980392,0.324104167,4,9-260,break,5,Proto-Indo-European,None,,9-260,9-260,1,break,breken,brecan,6
stall,5,Proto-Indo-European,Proto-Indo-European,6000,6000,stall,st$l,4,7.75,4.18,4.37,Verb,4,English,NA,3.450980392,0.324104167,4,3-190,stall,5,Proto-Indo-European,None,,3-190,3-190,1,stable,stal-le,steall,6
love,5,Proto-Indo-European,Proto-Indo-European,6000,6000,love,lVv,3,5.17,5.88,2.07,Verb,2,English,NA,3.450980392,0.390831496,3,16-270,love,5,Proto-Indo-European,None,,16-270,16-270,1,love,loven,lufu,4
dawn,4,1599,1599,401,401,dawn,d$n,3,7,4.34,4.46,Noun,4,English,NA,3.450980392,0.390831496,3,14-430,dawn,4,1599,None,,14-430,14-430,1,dawn,dauinge,dÃ_greÌ„d,6
drum,4,1541,1541,459,459,drum,drVm,4,4.63,4.33,4.96,Noun,2,English,NA,3.450980392,0.324104167,4,18-720,drum,4,1541,None,,18-720,18-720,1,drum,drom,tunnebotm(?),9
monkey,4,1530,1530,470,470,monkey,mVNkI,5,4.21,4.38,4.9,Noun,2,English,NA,3.450980392,0.095324755,5,3-760,monkey,4,1530,None,,3-760,3-760,1,monkey,ape,apa,3
stab,4,1530,1530,470,470,stab,st{b,4,6.4,3.87,4.07,Verb,4,English,NA,3.450980392,0.324104167,4,9-223,stab,4,1530,None,,9-223,9-223,1,stab,stabben,stician,7
booty,4,1474,1474,526,526,booty,butI,4,9.68,3.57,4.36,Noun,12,French,butin,3.5,0.13454128,5,20-480,booty,4,1474,French contact,No information,20-480,20-480,1,booty,boti,reÌ„af,4
paddle,4,1407,1407,593,593,paddle,p{dP,4,6.58,3.73,4.8,Noun,4,Late Latin,padela,4.833333333,0.214106395,6,10-851,paddle,4,1407,Latin contact,No information,10-851,10-851,1,paddle,,,
blister,4,1300,1300,700,700,blister,blIst@R,7,6.74,2.97,4.71,Noun,4,French (Anglo-Norman),blestre,3.5,0.009610091,7,4-855,blister,4,1300,French contact,No information,4-855,4-855,1,blister,blister,blegen,6
boy,4,1300,1300,700,700,boy,b4,2,3.67,5.28,4.76,Noun,2,English,NA,3.450980392,0.142987133,2,2-250,boy,4,1300,None,,2-250,2-250,1,boy,knave,cnapa,5
pick,4,1250,1250,750,750,pick,pIk,3,5.26,5.16,3.82,Verb,2,English,NA,3.450980392,0.390831496,3,12-212,pick,4,1250,None,,12-212,12-212,1,pick,piken,gaderian,8
baby,4,1230,1230,770,770,baby,b1bI,4,3.84,5.29,5,Noun,2,Welsh,baban,4.357142857,0.294117647,5,2-280,baby,4,1230,Welsh contact,Coexistence,2-280,2-280,1,infant,infaunt-e,cild,4
trap,4,Proto-West Germanic,Proto-West Germanic,2000,2000,trap,tr{p,4,6.44,4.22,4.3,Noun,2,English,NA,3.450980392,0.324104167,4,20-650,trap,4,Proto-West Germanic,None,,20-650,20-650,1,trap,trappen,begrynian,9
rat,4,Proto-West Germanic,Proto-West Germanic,2000,2000,rat,r{t,3,5.11,4.23,4.85,Noun,2,English,NA,3.450980392,0.390831496,3,3-630,rat,4,Proto-West Germanic,None,,3-630,3-630,1,mouse,mous,muÌ„s,3
beer,4,Proto-West Germanic,Proto-West Germanic,2000,2000,beer,b7R,3,6.11,4.47,4.88,Noun,4,English,NA,3.450980392,0.390831496,3,5-930,beer,4,Proto-West Germanic,None,,5-930,5-930,1,beer,ber,beÌ„or,4
wrong,4,Proto-Germanic,Proto-Germanic,2500,2500,wrong,rQN,3,4.22,5.58,1.83,Adjective,2,English,NA,3.450980392,0.390831496,3,16-740,wrong,4,Proto-Germanic,None,,16-740,16-740,1,wrong,wrong,wrang,5
cliff,4,Proto-Germanic,Proto-Germanic,2500,2500,cliff,klIf,4,7.28,4.37,4.71,Noun,4,English,NA,3.450980392,0.324104167,4,1-222,cliff,4,Proto-Germanic,None,,1-222,1-222,1,cliff,clif,clif,4
larch,4,Proto-Germanic,Proto-Germanic,2500,2500,larch,l#J,3,13.64,2.6,#N/A,Noun,14,English,NA,3.450980392,0.390831496,3,8-991,larch,4,Proto-Germanic,None,,,,,,,,
boat,4,Proto-Germanic,Proto-Germanic,2500,2500,boat,b5t,3,3.84,4.89,4.93,Noun,2,English,NA,3.450980392,0.390831496,3,10-830,boat,4,Proto-Germanic,None,,10-830,10-830,1,boat,bot,baÌ„t,3
spade,4,Proto-Germanic,Proto-Germanic,2500,2500,spade,sp1d,4,8.11,3.59,4.46,Noun,4,English,NA,3.450980392,0.324104167,4,8-230,spade,4,Proto-Germanic,None,,8-230,8-230,1,spade,spade,spadu,5
choose,4,Proto-Indo-European,Proto-Indo-European,6000,6000,choose,Juz,3,4.74,4.92,2.62,Verb,2,English,NA,3.450980392,0.390831496,3,16-622,choose,4,Proto-Indo-European,None,,16-622,16-622,1,choose,chesen,ceÌ„osan,6
brake,3,1772,1772,228,228,brake,br1k,4,5.95,3.84,4.44,Noun,2,French,braquer,3.5,0.009610091,7,23-180,brake,3,1772,French contact,Insertion,,,,,,,
outrigger,3,1748,1748,252,252,outrigger,6trIg@R,7,11.41,1.7,#N/A,Noun,10,Unidentified,Unidentifiable,NA,NA,14,10-832,outrigger,3,1748,None,Insertion,10-832,10-832,1,outrigger,,,
shriek,3,1577,1577,423,423,shriek,Srik,4,8.94,2.78,3.97,Noun,6,Old Norse,skrÃ_kja,4.209302326,0.019229942,7,18-180,shriek,3,1577,Old Norse contact,Coexistence,18-180,18-180,1,shriek,shriken,giellan,7
mud,3,1400,1400,600,600,mud,mVd,3,4.05,4.37,4.86,Noun,2,Dutch,modde,3.636363636,0.158503748,5,1-214,mud,3,1400,Dutch or Middle Low German contact,Replacement,1-214,1-214,1,mud,mud-de,waÌ„se,4
rabbit,3,1398,1398,602,602,rabbit,r{bIt,5,3.94,4.39,4.93,Noun,2,French (Walloon),robett,4.117647059,0.052631579,6,3-614,rabbit,3,1398,dialectal French contact,Replacement,3-614,3-614,1,rabbit,rabet,hara,4
crouch,3,1394,1394,606,606,crouch,kr6J,4,8.5,3.35,4.27,Noun,6,French (Anglo-Norman),crochir,3.5,0.009610091,7,10-413,crouch,3,1394,French contact,No information,10-413,10-413,1,crouch,crouchen,,
rub,3,1377,1377,623,623,rub,rVb,3,6,4.08,4.33,Verb,4,Middle Low German,rubben,3.553571429,0.035617819,6,9-310,rub,3,1377,Middle Low German contact,Replacement,9-310,9-310,1,rub,gniden,gniÌ„dan,6
gun,3,1339,1339,661,661,gun,gVn,3,5.58,4.6,4.83,Noun,2,Old Norse,Gunhild,4.209302326,0.019229942,7,20-280,gun,3,1339,Old Norse contact,Insertion,20-280,20-280,1,gun,gonne,,
shrimp,3,1327,1327,673,673,shrimp,SrImp,5,7.11,3.63,4.8,Noun,4,Middle High German,schrimpen,3.591836735,0.000173658,9,3-833,shrimp,3,1327,German contact,No information,,,,,,,
mumble,3,1325,1325,675,675,mumble,mVmbP,5,7.15,2.58,3.69,Verb,4,Middle Low German,mummelen,3.553571429,0.002701075,8,18-160,mumble,3,1325,Dutch or Middle Low German contact,No information,18-160,18-160,1,mumble,momelen,clumian,7
blink,3,1303,1303,697,697,blink,blINk,5,5.63,3.74,4.39,Verb,2,Dutch,blenken,3.636363636,0.003531474,7,4-215,blink,3,1303,Dutch contact,No information,4-215,4-215,1,blink,blenchen,beprenan,8
big,3,1300,1300,700,700,big,bIg,3,2.89,5.94,3.66,Adjective,2,English,NA,3.450980392,0.390831496,3,12-550,big,3,1300,None,,12-550,12-550,1,large,muchel,micel,5
crawl,3,1300,1300,700,700,crawl,kr$l,4,3.89,3.73,4.27,Verb,2,Old Norse,krafla,4.209302326,0.038459885,6,10-410,crawl,3,1300,Old Norse contact,No information,10-410,10-410,1,creep,crepen,creÌ„opan,7
skull,3,1290,1290,710,710,skull,skVl,4,6.33,4.04,4.83,Noun,2,Old Norse,skoltr,4.209302326,0.038459885,6,4-202,skull,3,1290,Old Norse contact,Replacement,4-202,4-202,1,skull,scul-le,heÌ„afodpanne,11
war,3,1154,1154,846,846,war,w$R,3,7.67,5.34,3.63,Noun,2,French (Anglo-Norman),guerre,3.5,0.028830274,6,20-130,war,3,1154,French contact,Replacement,20-130,20-130,1,war,wer-re,wig,3
potter,3,1100,1100,900,900,potter,pQt@R,5,8.45,4.15,4.12,Noun,6,Latin,pottus,4.833333333,0.207542494,6,9-710,potter,3,1100,Latin to Germanic,No information,9-710,9-710,1,potter,potter-e,crocwyrhta,10
Thursday,3,1000,1000,1000,1000,Thursday,T3zdI,5,#N/A,4.51,3.03,Name,2,Old Norse,ThÃ_rsdagr,4.209302326,4.22E-05,9,14-660,Thursday,3,1000,Old Norse contact,Replacement,14-660,14-660,1,Thursday,Thures-dai,Î¸unresdÃ_g,9
cock,3,897,897,1103,1103,cock,kQk,3,11.32,3.98,4.79,Noun,4,French,coq,3.5,0.259472469,3,3-520,cock,3,897,French contact,Insertion,3-520,3-520,1,cock,cok,hana,4
path,3,Proto-West Germanic,Proto-West Germanic,2000,2000,path,p#T,3,6.11,4.48,4.41,Noun,2,Unidentified,Unidentifiable,NA,NA,14,10-720,path,3,Proto-West Germanic,None,,10-720,10-720,1,path,path,stiÌ„g,4
again,3,Proto-Germanic,Proto-Germanic,2500,2500,again,@gEn,4,5.78,5.84,2,Adverb,2,English,NA,3.450980392,0.324104167,4,14-350,again,3,Proto-Germanic,None,,14-350,14-350,1,again,ayen,eft,3
knife,3,Proto-Germanic,Proto-Germanic,2500,2500,knife,n2f,3,4.15,4.49,4.9,Noun,2,Old Norse,knifr,4.209302326,0.192299424,5,9-230,knife,3,Proto-Germanic,Old Norse contact,Replacement,9-230,9-230,1,knife,knif,seax,4
whale,3,Proto-Germanic,Proto-Germanic,2500,2500,whale,w1l,3,5.47,4.14,4.96,Noun,4,English,NA,3.450980392,0.390831496,3,3-663,whale,3,Proto-Germanic,None,,3-663,3-663,1,whale,whal,hran,4
soap,3,Proto-Germanic,Proto-Germanic,2500,2500,soap,s5p,3,3.17,4.1,4.93,Noun,2,English,NA,3.450980392,0.390831496,3,6-950,soap,3,Proto-Germanic,None,,6-950,6-950,1,soap,sope,saÌ„pe,4
cat,3,Proto-Germanic,Proto-Germanic,2500,2500,cat,k{t,3,3.68,4.83,4.86,Noun,2,English,NA,3.450980392,0.390831496,3,3-620,cat,3,Proto-Germanic,None, Celtic,3-620,3-620,1,cat,cat,catte,5
trousers,2,1681,1681,319,319,trousers,tr6z@z,6,7.89,4.24,4.93,Noun,6,Gaelic (Scottish),triubhas,4.847826087,0.02173913,8,6-480,trousers,2,1681,Scottish Gaelic contact,Replacement,6-480,6-480,1,trousers,brech,breÌ„c,4
slip,2,1667,1667,333,333,slip,slIp,4,6.17,4.33,4.1,Verb,2,Dutch,slippen,3.636363636,0.003531474,7,10-420,slip,2,1667,Dutch contact,No information,10-420,10-420,1,slide,sliden,sliÌ„dan,6
swamp,2,1624,1624,376,376,swamp,swQmp,5,7.95,3.51,4.96,Noun,2,Middle Low German,swampen,3.553571429,0.035617819,7,1-380,swamp,2,1624,Dutch or Middle Low German contact,Coexistence,1-380,1-380,1,swamp,mareis,fenn,4
astonished,2,1576,1576,424,424,astonished,@stQnISt,8,10.58,3.42,2.15,Adjective,NA,French (Anglo-Norman),estoner,3.5,0.009610091,7,16-150,astonished,2,1576,French contact,Coexistence,16-150,16-150,1,surprised,wondred,aÌ„blycge(n)de,10
rug,2,1558,1558,442,442,rug,rVg,3,4.61,3.57,4.79,Noun,2,Norwegian,rugga,4.552631579,0.102040816,5,9-771,rug,2,1558,Norwegian contact,No information,9-771,9-771,1,rug,tapet-e,ruÌ„wa,4
lazy,2,1549,1549,451,451,lazy,l1zI,4,6.39,4.07,2.67,Adjective,2,Middle Low German,lasich,3.553571429,0.035617819,6,4-920,lazy,2,1549,Middle Low German contact,Replacement,4-920,4-920,1,lazy,slothful,slaÌ„w,4
parrot,2,1525,1525,475,475,parrot,p{r@t,5,5.58,3.84,5,Noun,2,English,NA,3.450980392,0.095324755,5,3-592,parrot,2,1525,None,,3-592,3-592,1,parrot,psitak,hiÌ„ce(?),4
peg,2,1440,1440,560,560,peg,pEg,3,6.83,3.67,4.93,Noun,6,Middle Dutch,pegge,3.636363636,0.159090909,5,9-910,peg,2,1440,Dutch contact,Insertion,,,,,,,
barter,2,1440,1440,560,560,barter,b#t@R,5,10.72,2.85,2.96,Verb,12,French,barater,3.5,0.009610091,7,11-830,barter,2,1440,French contact,Coexistence,11-830,11-830,1,trade,mongen,mangian,7
gill,2,1388,1388,612,612,gill,gIl,3,7.39,3.88,4.33,Noun,2,Old Norse,gil,4.209302326,0.288449136,3,3-654,gill,2,1388,Old Norse contact,No information,3-654,3-654,1,gill,gil-e,ciÌ„an,4
scrape,2,1382,1382,618,618,scrape,skr1p,5,6.21,3.61,4.15,Verb,4,Old Norse,skrapa,4.209302326,0.038459885,6,5-480,scrape,2,1382,Old Norse contact,No information,5-480,5-480,1,scrape,scrapen,screpan,7
nephew,2,1325,1325,675,675,nephew,nEvju,5,6.37,3.81,4.48,Noun,6,French,neveu,3.5,0.13454128,5,2-530,nephew,2,1325,French contact,Insertion,2-530,2-530,1,nephew,neve,nefa,4
dig,2,1320,1320,680,680,dig,dIg,3,4.19,4.44,4.33,Verb,2,French,diguer,3.5,0.028830274,6,8-220,dig,2,1320,French contact,No information,8-220,8-220,1,dig,graven,grafan,6
rag,2,1310,1310,690,690,rag,r{g,3,5.22,3.59,4.67,Noun,2,Old Norse,ragg,4.209302326,0.40382879,4,6-810,rag,2,1310,Old Norse contact,Coexistence,6-810,6-810,1,handkerchief,kercher,fihl,4
sling,2,1300,1300,700,700,sling,slIN,4,8.67,3.34,4.52,Noun,4,Dutch,slinge,3.636363636,0.045286785,6,20-230,sling,2,1300,Dutch or Middle Low German contact,Insertion,20-230,20-230,1,sling,sling-e,liÎ¸ere,6
bat,2,1300,1300,700,700,bat,b{t,3,4.85,4.3,5,Noun,2,Middle North Germanic,bakka,3.591836735,0.209302326,5,3-591,bat,2,1300,Scandinavian contact,No information,3-591,3-591,1,bat,bakke,cwelderÃ_Ì„de,10
shore,2,1300,1300,700,700,shore,S$R,3,6.93,4.12,4.79,Noun,2,Dutch,schÃ´re,3.636363636,0.045286785,6,1-270,shore,2,1300,Dutch or Middle Low German contact,Replacement,1-270,1-270,1,shore,strond-e,strand,6
smile,2,1300,1300,700,700,smile,sm2l,4,3.51,4.71,4.5,Noun,2,Middle Low German,*smÄ«len,3.553571429,0.035617819,7,16-251,smile,2,1300,Middle Low German contact,Replacement,16-251,16-251,1,smile,smilen,smearcian,9
bait,2,1300,1300,700,700,bait,b1t,3,7.11,3.7,4.45,Noun,2,Old Norse,beita,4.209302326,0.192299424,5,20-560,bait,2,1300,Old Norse contact,No information,20-560,20-560,1,bait,bait,Ã_Ì„s,2
sweep,2,1300,1300,700,700,sweep,swip,4,4.2,3.91,3.72,Verb,2,Old Norse,svipa,4.209302326,0.192299424,5,9-370,sweep,2,1300,Old Norse contact,Replacement,9-370,9-370,1,sweep,swepen,swaÌ„pan,6
piss,2,1300,1300,700,700,piss,pIs,3,7.56,3.96,4.73,Verb,NA,French,pisser,3.5,0.028830274,6,4-650,piss,2,1300,French contact,Insertion,4-650,4-650,1,urinate,pissen,miÌ„gan,5
cut,2,1275,1275,725,725,cut,kVt,3,4.43,5.35,4.55,Verb,2,Old Norse,kuta,4.209302326,0.40382879,4,9-220,cut,2,1275,Old Norse contact,Coexistence,9-220,9-220,1,cut,sheren,ceorfan,7
down,2,1100,1100,900,900,down,d6n,3,4.93,6.09,3.52,Adverb,2,Celtic,*dounon,3.210526316,0.101449275,7,12-030,down,2,1100,Celtic to Germanic,Replacement,12-030,Dec-30,1,down,doun,(aÌ„)duÌ„ne,5
tan,2,1000,1000,1000,1000,tan,t{n,3,7.05,4.06,4.29,Noun,2,Latin,tannÄÅre,4.833333333,0.046120554,7,7-670,tan,2,1000,Latin contact,Replacement,,,,,,,
sister,2,900,900,1100,1100,sister,sIst@R,6,3.68,4.91,4,Noun,2,Old Norse,systir,4.209302326,0.038459885,6,2-450,sister,2,before 900,Old Norse contact,Replacement,2-450,2-450,1,sister,suster,sweostor,8
cart,2,800,800,1200,1200,cart,k#t,3,6.16,3.77,4.89,Noun,2,Old Norse,kartr,4.209302326,0.192299424,5,10-750,cart,2,800,Old Norse contact,Replacement,10-750,10-750,1,carriage,carre,wÃ_gn,4
pot,2,Proto-West Germanic,Proto-West Germanic,2000,2000,pot,pQt,3,5.95,4.76,4.81,Noun,2,French,pot,3.5,0.259472469,3,5-260,pot,2,Proto-West Germanic,French contact,No information,5-260,5-260,1,pot,pot-e,crocc(a),6
cheap,2,Proto-Germanic,Proto-Germanic,2500,2500,cheap,Jip,3,7.11,4.65,2.11,Adjective,2,Latin,caupÅç,4.833333333,0.322843879,5,11-890,cheap,2,Proto-Germanic,Latin to Germanic,Insertion,11-890,11-890,1,cheap,god chep-e,undeÌ„ore,7
gold,2,Proto-Germanic,Proto-Germanic,2500,2500,gold,g5ld,4,7.1,5.1,4.81,Noun,2,Unidentified,Unidentifiable,NA,NA,14,9-640,gold,2,Proto-Germanic,None,,9-640,9-640,1,gold,gold,gold,4
silver,2,Proto-Germanic,Proto-Germanic,2500,2500,silver,sIlv@R,6,6.21,5.01,4.52,Noun,2,Unidentified,Unidentifiable,NA,NA,14,9-650,silver,2,Proto-Germanic,None,,9-650,9-650,1,silver,silver,seolfor,7
iron,2,Proto-Germanic,Proto-Germanic,2500,2500,iron,2@n,3,7.32,4.52,4.59,Noun,2,Unidentified,Unidentifiable,NA,NA,14,9-670,iron,2,Proto-Germanic,None,,9-670,9-670,1,iron,iren,iÌ„se(r)n,5
postcard,1,1870,1870,130,130,postcard,p5stk#d,7,6.74,3.72,4.93,Noun,2,French,carte,3.5,0.13454128,5,23-430,postcard,1,1870,French contact,Insertion,,,,,,,
cigarette,1,1842,1842,158,158,cigarette,sIg@rEt,7,6.39,4.11,4.88,Noun,4,French,cigarette,3.5,0.00050538,9,23-590,cigarette,1,1842,French contact,Insertion,,,,,,,
bus,1,1832,1832,168,168,bus,bVs,3,3.85,4.74,4.9,Noun,2,Latin,omnibus,4.833333333,0.046120554,7,23-150,bus,1,1832,Latin contact,Insertion,,,,,,,
grandparent,1,1830,1830,170,170,grandparent,gr{np8r@nt,10,5.5,2.61,4.03,Noun,NA,Latin,grandis + parens,4.833333333,2.17E-13,16,2-471,grandparent,1,1830,French contact,Insertion,2-471,2-471,1,old woman,old-e,ealdwiÌ„f,7
citrus,1,1825,1825,175,175,citrus,sItr@s,6,6.63,3.42,4.21,Noun,6,Latin,citrus,4.833333333,0.207542494,6,8-830,citrus,1,1825,Latin contact,Insertion,8-830,8-830,1,citrus fruit,,,
boomerang,1,1789,1789,211,211,boomerang,bum@r{N,7,9.79,3.04,4.7,Noun,4,Dharuk,womurrang,4.956521739,0.029411765,9,9-870,boomerang,1,1789,Australian Aboriginal contact,Insertion,,,,,,,
kangaroo,1,1773,1773,227,227,kangaroo,k{Ng@ru,7,5.55,3.62,4.86,Noun,2,Guugu Yimidhirr,gaÅ‹urru,4.848484848,0.060606061,7,3-880,kangaroo,1,1773,Australian Aboriginal contact,Insertion,,,,,,,
tattoo,1,1769,1769,231,231,tattoo,t@tu,4,7.79,3.78,4.71,Noun,2,Tahitian,tÄÅtau,4.773109244,0.214285714,5,6-790,tattoo,1,1769,Tahitian contact,Insertion,6-790,6-790,1,tattoo,mark-e,,
lasso,1,1768,1768,232,232,lasso,l{su,4,8.56,2.7,4.74,Noun,4,Spanish,lazo,8.051282051,0.344359985,4,8-290,lasso,1,1768,Spanish contact,No information,,,,,,,
adobe,1,1748,1748,252,252,adobe,@d5bI,5,12.22,2.28,4.19,Noun,4,Spanish,adobar,8.051282051,0.167980481,6,7-640,adobe,1,1748,Spanish contact,Insertion,7-640,7-640,1,adobe,,,
poncho,1,1717,1717,283,283,poncho,pQnJ5,5,8.84,2.41,4.97,Noun,8,Spanish,poncho,8.051282051,0.167980481,6,6-411,poncho,1,1717,Spanish contact,Insertion,6-411,6-411,1,poncho,,,
adjudicate,1,1700,1700,300,300,adjudicate,@_udIk1t,8,15.25,2.36,2.12,Verb,14,Latin,adiudicÄÅre,4.833333333,0.000751411,10,21-160,adjudicate,1,1700,Latin contact,Replacement,21-160,21-160,1,judge,demen,deÌ„man,5
vagina,1,1682,1682,318,318,vagina,v@_2n@,6,8.89,3.14,4.82,Noun,12,Latin,vagina,4.833333333,0.207542494,6,4-493,vagina,1,1682,Latin contact,Replacement,,,,,,,
caribou,1,1665,1665,335,335,caribou,k{rIbu,6,12.06,2.93,4.92,Noun,10,French,caribou,3.5,0.009610091,7,3-871,caribou,1,1665,French contact,Insertion,,,,,,,
chili,1,1662,1662,338,338,chili,JIlI,4,6.61,2.58,4.79,Noun,2,Spanish,chile,8.051282051,0.226773649,5,5-821,chili,1,1662,Spanish contact,Insertion,5-821,5-821,1,chili,,,
